epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
69,178.156,1.23421,1.32997,1.42768,0.70824,0.56079,0.65548,0.42865,1.29281,1.55293,1.52604,0.003268,0.003268,0.003268
70,180.617,1.23856,1.3479,1.42431,0.74417,0.57963,0.66252,0.42623,1.33447,1.53618,1.5655,0.003169,0.003169,0.003169
71,183.04,1.18822,1.32756,1.38972,0.58598,0.56439,0.60825,0.3947,1.33857,1.68407,1.55284,0.00307,0.00307,0.00307
72,185.518,1.20539,1.25653,1.41421,0.69033,0.56202,0.61622,0.40052,1.35513,1.60593,1.56272,0.002971,0.002971,0.002971
73,187.965,1.18682,1.26798,1.35758,0.73989,0.58754,0.65253,0.41544,1.30384,1.53903,1.5168,0.002872,0.002872,0.002872
74,190.406,1.17487,1.24159,1.37147,0.66506,0.57941,0.66034,0.43215,1.30275,1.66016,1.53136,0.002773,0.002773,0.002773
75,192.892,1.19902,1.28125,1.40757,0.77326,0.58649,0.67771,0.44867,1.28886,1.5482,1.51417,0.002674,0.002674,0.002674
76,195.32,1.13082,1.2047,1.3434,0.68839,0.63471,0.66478,0.43925,1.28979,1.53359,1.52661,0.002575,0.002575,0.002575
77,197.701,1.15252,1.21467,1.35649,0.72149,0.61025,0.6711,0.44092,1.28858,1.48911,1.4842,0.002476,0.002476,0.002476
78,200.131,1.11138,1.15868,1.33051,0.68859,0.62318,0.6554,0.43319,1.28914,1.5531,1.48886,0.002377,0.002377,0.002377
79,202.532,1.16048,1.17911,1.37529,0.7123,0.60351,0.65182,0.43395,1.33616,1.59135,1.52408,0.002278,0.002278,0.002278
80,204.954,1.18111,1.17163,1.36608,0.68252,0.62875,0.64599,0.43339,1.29927,1.59166,1.5248,0.002179,0.002179,0.002179
81,207.221,1.1355,1.19676,1.35509,0.72169,0.55763,0.63105,0.41322,1.33466,1.63646,1.55385,0.00208,0.00208,0.00208
82,209.573,1.13868,1.16598,1.33074,0.7773,0.53276,0.64763,0.42989,1.32006,1.58475,1.52488,0.001981,0.001981,0.001981
83,211.959,1.13038,1.16044,1.34045,0.68519,0.58689,0.64684,0.42372,1.29475,1.57221,1.50735,0.001882,0.001882,0.001882
84,214.348,1.15838,1.18054,1.3547,0.71119,0.55244,0.63424,0.41856,1.25707,1.48666,1.48134,0.001783,0.001783,0.001783
85,216.641,1.1082,1.12594,1.33046,0.6672,0.60222,0.64644,0.42188,1.26899,1.49454,1.48333,0.001684,0.001684,0.001684
86,219.024,1.10678,1.14371,1.33142,0.76145,0.57234,0.66454,0.44001,1.2474,1.53487,1.46971,0.001585,0.001585,0.001585
87,221.393,1.07971,1.11551,1.302,0.76279,0.56252,0.67452,0.44942,1.22134,1.5025,1.4386,0.001486,0.001486,0.001486
88,223.853,1.11342,1.18108,1.32643,0.74244,0.58069,0.67813,0.45142,1.26986,1.49233,1.47615,0.001387,0.001387,0.001387
89,226.184,1.08424,1.10871,1.30442,0.68019,0.64016,0.6771,0.45487,1.25609,1.48145,1.48482,0.001288,0.001288,0.001288
90,228.654,1.07058,1.09574,1.29365,0.7136,0.64445,0.68178,0.45735,1.24053,1.481,1.47675,0.001189,0.001189,0.001189
91,232.191,1.02592,1.14315,1.27598,0.70493,0.61485,0.68884,0.45342,1.26027,1.49189,1.46949,0.00109,0.00109,0.00109
92,234.653,1.02454,1.06955,1.27471,0.75776,0.5467,0.67312,0.44651,1.29162,1.62927,1.50936,0.000991,0.000991,0.000991
93,237.156,1.04924,1.07415,1.31097,0.64526,0.64758,0.68698,0.46691,1.27811,1.50134,1.51189,0.000892,0.000892,0.000892
94,239.565,0.98442,0.96384,1.25137,0.68994,0.64615,0.69294,0.48238,1.17706,1.37574,1.44859,0.000793,0.000793,0.000793
95,242.074,0.93768,0.94441,1.24031,0.70523,0.65634,0.69898,0.48296,1.20029,1.36788,1.47371,0.000694,0.000694,0.000694
96,244.514,0.96428,0.95292,1.24457,0.76015,0.6057,0.68455,0.45954,1.24663,1.42283,1.49697,0.000595,0.000595,0.000595
97,246.907,0.93842,0.95039,1.21977,0.7475,0.63079,0.67214,0.45666,1.23547,1.44235,1.48809,0.000496,0.000496,0.000496
98,249.356,0.92825,0.91764,1.23658,0.72958,0.64416,0.67577,0.46467,1.20525,1.46417,1.45833,0.000397,0.000397,0.000397
99,251.815,0.95188,0.91959,1.25086,0.73395,0.65007,0.67887,0.47298,1.20899,1.44908,1.46448,0.000298,0.000298,0.000298
100,254.17,0.94595,0.87847,1.25515,0.73411,0.67289,0.68672,0.47854,1.20765,1.40561,1.46327,0.000199,0.000199,0.000199
