epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
73,67.408,0.57904,0.61532,0.99065,0.79136,0.64808,0.74192,0.49864,1.08199,1.51545,1.3236,0.0002872,0.0002872,0.0002872
74,68.2348,0.52122,0.5782,0.96645,0.73591,0.69725,0.74634,0.4977,1.07435,1.54318,1.31216,0.0002773,0.0002773,0.0002773
75,69.0357,0.52833,0.57185,0.96066,0.83799,0.64087,0.74478,0.50582,1.04359,1.54884,1.29689,0.0002674,0.0002674,0.0002674
76,69.7791,0.4721,0.54534,0.92395,0.82583,0.64479,0.74348,0.51514,1.02105,1.56338,1.28867,0.0002575,0.0002575,0.0002575
77,70.7177,0.51613,0.55758,0.96435,0.83861,0.65877,0.74694,0.52402,1.02376,1.54943,1.29419,0.0002476,0.0002476,0.0002476
78,71.7235,0.532,0.59148,0.97362,0.81836,0.67847,0.75505,0.5216,1.01115,1.5109,1.2838,0.0002377,0.0002377,0.0002377
79,72.7561,0.50327,0.54638,0.94459,0.74309,0.71419,0.75546,0.51965,1.01182,1.54115,1.27886,0.0002278,0.0002278,0.0002278
80,73.7225,0.4964,0.55924,0.9348,0.74819,0.72627,0.75566,0.51561,1.01726,1.53211,1.28761,0.0002179,0.0002179,0.0002179
81,74.6266,0.53205,0.59747,0.94259,0.76096,0.71547,0.75331,0.51188,1.02159,1.52682,1.29481,0.000208,0.000208,0.000208
82,75.5864,0.49247,0.56622,0.94975,0.77029,0.70558,0.75046,0.50979,1.03489,1.47165,1.3049,0.0001981,0.0001981,0.0001981
83,76.5236,0.48598,0.52611,0.94185,0.78762,0.70516,0.75705,0.51184,1.03925,1.47309,1.31957,0.0001882,0.0001882,0.0001882
