frame_index,time_sec,class_id,class_name,confidence,xmin,ymin,xmax,ymax,preprocess_ms,inference_ms,postprocess_ms,end_to_end_fps
97,4.864,1,mouse,0.981040,86.15,105.25,387.60,396.12,2.598,25.921,3.266,20.370
98,4.922,1,mouse,0.945126,108.02,118.03,396.15,401.10,2.642,25.510,3.195,20.086
99,4.962,1,mouse,0.836491,120.71,120.87,420.14,402.39,2.555,25.502,3.013,20.534
99,4.962,1,mouse,0.464877,0.00,0.00,390.45,437.52,2.555,25.502,3.013,20.534
100,5.024,1,mouse,0.945304,130.33,142.61,401.27,429.48,2.940,25.589,3.205,20.151
101,5.065,1,mouse,0.945459,138.49,143.07,417.68,429.24,2.592,25.546,2.933,20.537
102,5.123,1,mouse,0.974064,141.18,157.75,437.29,440.68,2.509,25.547,3.274,20.214
103,5.164,1,mouse,0.954258,152.51,159.65,419.47,453.01,2.572,25.525,2.915,20.603
104,5.224,1,mouse,0.919448,149.47,174.69,421.22,465.64,2.783,25.539,3.246,20.238
105,5.264,1,mouse,0.965671,155.46,179.51,419.64,469.42,2.602,25.774,2.968,20.623
106,5.323,1,mouse,0.959607,154.81,190.98,426.74,472.97,2.522,25.524,3.158,20.288
107,5.365,1,mouse,0.952477,161.30,192.44,426.36,470.16,2.618,25.529,2.974,20.668
108,5.424,1,mouse,0.975809,158.26,201.97,417.95,469.17,2.787,25.570,3.285,20.293
109,5.464,1,mouse,0.969743,165.08,206.88,417.71,471.82,2.553,25.561,3.009,20.690
110,5.523,1,mouse,0.964146,174.09,208.50,429.72,472.12,2.537,25.515,3.187,20.339
111,5.565,1,mouse,0.942644,174.57,210.48,434.11,473.25,2.617,25.793,2.917,20.717
112,5.625,1,mouse,0.975082,192.65,235.10,441.45,473.68,2.573,25.582,3.487,20.326
112,5.625,1,mouse,0.289007,0.00,0.00,379.07,464.55,2.573,25.582,3.487,20.326
112,5.625,1,mouse,0.252227,392.74,2.24,639.87,469.69,2.573,25.582,3.487,20.326
113,5.666,1,mouse,0.973045,196.90,235.12,446.54,474.59,2.489,25.587,3.084,20.653
114,5.723,1,mouse,0.965679,191.05,232.40,447.04,473.58,2.648,25.548,3.075,20.350
115,5.764,1,mouse,0.906618,212.00,237.29,480.58,472.29,2.527,25.776,2.966,20.722
115,5.764,1,mouse,0.823720,0.00,0.00,498.97,469.27,2.527,25.776,2.966,20.722
115,5.764,1,mouse,0.365263,212.34,136.92,477.88,470.77,2.527,25.776,2.966,20.722
116,5.826,1,mouse,0.956018,224.85,241.03,468.57,473.60,2.747,26.441,3.111,20.303
116,5.826,1,mouse,0.268017,502.32,0.00,639.90,470.35,2.747,26.441,3.111,20.303
117,5.869,1,mouse,0.956668,238.32,237.18,512.03,473.46,2.402,27.475,3.023,20.522
117,5.869,1,mouse,0.433860,0.27,0.00,378.76,480.00,2.402,27.475,3.023,20.522
117,5.869,1,mouse,0.365485,442.48,0.00,639.99,468.59,2.402,27.475,3.023,20.522
117,5.869,1,mouse,0.317530,367.65,0.00,639.75,468.75,2.402,27.475,3.023,20.522
118,5.923,1,mouse,0.965019,245.84,239.74,486.13,473.97,2.524,25.517,3.187,20.332
118,5.923,1,mouse,0.422625,0.00,0.00,573.47,445.28,2.524,25.517,3.187,20.332
119,5.965,1,mouse,0.971549,250.59,250.70,490.97,474.40,2.587,25.545,2.995,20.722
119,5.965,1,mouse,0.322453,0.18,1.56,493.06,432.77,2.587,25.545,2.995,20.722
120,6.023,1,mouse,0.963486,246.71,241.77,482.73,474.54,2.520,25.587,3.305,20.358
121,6.064,1,mouse,0.895278,245.83,237.06,483.58,472.56,2.545,25.782,3.140,20.702
121,6.064,1,mouse,0.356665,456.72,0.00,640.00,470.76,2.545,25.782,3.140,20.702
122,6.124,1,mouse,0.958538,220.59,239.57,452.43,474.45,2.770,25.541,3.173,20.339
122,6.124,1,mouse,0.669398,447.83,0.72,639.89,480.00,2.770,25.541,3.173,20.339
123,6.165,1,mouse,0.944092,216.76,235.43,444.84,473.09,2.617,25.549,3.046,20.686
